Family;Fam;Species;teg;gil;male max;female max;win;spr;sum;aut;gra;xyl;shr;gat;pff;pre;oth;isoleg_cem;cl_cem_fix;cl_fr;cl_ter;aq_pas;aq_act;ae pas;ae_act
APATANIIDAE;AP;Apatania_fimbriata;10;10;7;7;0;0;5;5;8;0;0;2;0;0;0;0;3;0;3;3;2;0;2
APATANIIDAE;AP;Apatania_muliebris;10;10;0;1;0;3;5;2;5;0;0;5;0;0;0;0;3;0;3;3;2;0;2
BERAEIDAE;BER;Beraea_maurus;10;0;5;5;0;1;8;1;3;0;7;0;0;0;0;0;1;0;0;0;1;1;1
BERAEIDAE;BER;Beraea_pullata;10;0;6;6;0;4;6;0;2;0;2;6;0;0;0;0;1;0;0;0;1;1;1
BERAEIDAE;BER;Beraeodes_minutus;10;0;5;5;0;2;8;0;10;0;0;0;0;0;0;0;2;1;0;0;1;1;1
BERAEIDAE;BER;Ernodes_articularis;10;0;5;5;0;3;7;0;0;0;5;5;0;0;0;0;1;0;0;0;1;1;1
BRACHYCENTRIDAE;BRA;Brachycentrus_montanus;10;10;8;0;0;3;7;0;2;0;0;0;5;3;0;0;3;0;0;0;1;1;2
BRACHYCENTRIDAE;BRA;Brachycentrus_subnubilus;10;10;9;14;0;4;6;0;2;0;0;0;5;3;0;0;3;0;0;0;1;1;2
BRACHYCENTRIDAE;BRA;Micrasema_longulum;10;10;6;0;0;4;6;0;5;0;5;0;0;0;0;0;2;0;0;0;1;1;2
BRACHYCENTRIDAE;BRA;Micrasema_minimum;10;10;5;5;0;3;7;0;5;0;5;0;0;0;0;0;2;0;0;0;1;1;2
BRACHYCENTRIDAE;BRA;Micrasema_setiferum;10;10;6;7;0;2;6;2;5;0;5;0;0;0;0;0;2;0;0;0;1;1;2
CALAMOCERATIDAE;CAL;Calamoceras_marsupus;10;10;12;14;0;0;10;0;2;0;6;0;0;2;0;0;1;3;0;0;0;1;1
GLOSSOSOMATIDAE;GLO;Agapetus_delicatulus;10;0;6;6;0;0;10;0;8;0;0;2;0;0;0;0;3;0;0;1;2;1;1
GLOSSOSOMATIDAE;GLO;Agapetus_fuscipes;10;0;5;5;0;3;4;3;8;0;0;2;0;0;0;0;3;0;0;1;2;1;1
GLOSSOSOMATIDAE;GLO;Agapetus_laniger;10;0;5;0;0;2;6;2;8;0;0;2;0;0;0;0;3;0;0;1;2;1;1
GLOSSOSOMATIDAE;GLO;Agapetus_nimbulus;10;0;5;5;0;3;4;3;8;0;0;2;0;0;0;0;3;0;0;1;2;1;1
GLOSSOSOMATIDAE;GLO;Agapetus_ochripes;10;0;4;5;0;5;5;0;8;0;0;2;0;0;0;0;3;0;0;1;2;1;1
GLOSSOSOMATIDAE;GLO;Glossosoma_bifidum;10;0;9;9;0;0;8;2;8;0;0;2;0;0;0;0;3;0;0;1;2;1;1
GLOSSOSOMATIDAE;GLO;Glossosoma_boltoni;10;0;9;9;0;2;6;2;8;0;0;2;0;0;0;0;3;0;0;1;2;1;1
GLOSSOSOMATIDAE;GLO;Glossosoma_conformis;10;0;8;9;0;4;5;1;8;0;0;2;0;0;0;0;3;0;0;1;2;1;1
