"A1"	"A2"	"A3"	"A4"	"A1"	"A2"	"A3"	"A4"
"win"	0.005	0.184	0.063	-0.214	0.945	0.01	0.377	0.002
"spr"	0.015	-0.148	-0.003	-0.238	0.836	0.038	0.971	0.001
"sum"	-0.343	-0.045	-0.223	0.449	0	0.529	0.002	0
"aut"	0.364	0.131	0.233	-0.241	0	0.067	0.001	0.001
"gra"	-0.206	-0.597	0.397	-0.519	0.004	0	0	0
"xyl"	0.005	-0.044	-0.039	-0.002	0.941	0.54	0.591	0.976
"shr"	0.791	-0.135	0.103	0.341	0	0.058	0.151	0
"gat"	-0.07	-0.286	0.112	0.018	0.329	0	0.118	0.797
"pff"	-0.32	-0.085	-0.57	-0.126	0	0.237	0	0.077
"pre"	-0.11	0.898	-0.038	0.093	0.125	0	0.597	0.195
"oth"	-0.15	-0.095	-0.102	0.295	0.035	0.185	0.153	0
"isoleg_cem"	-0.269	0.807	0.278	-0.143	0	0	0	0.045
"cl_cem_fix"	0.081	-0.826	-0.335	0.182	0.257	0	0	0.011
"cl_fr"	-0.06	0.459	0.111	0.06	0.404	0	0.121	0.401
"cl_ter"	0.363	0.049	0.163	-0.185	0	0.497	0.022	0.009
"aq_pas"	-0.617	0.346	-0.156	-0.173	0	0	0.028	0.015
"aq_act"	0.201	-0.188	0.325	-0.134	0.005	0.008	0	0.061
"ae.pas"	-0.59	-0.202	-0.024	0.215	0	0.004	0.739	0.002
"ae_act"	0.824	-0.073	-0.017	0.08	0	0.308	0.811	0.265
"teg"	0.008	-0.189	-0.065	0.114	0.91	0.008	0.363	0.11
"gil"	0.736	0.192	-0.427	-0.354	0	0.007	0	0
"male.max"	0.43	0.126	0.05	0.06	0	0.077	0.482	0.401
"female.max"	0.556	0.217	0.43	0.109	0	0.002	0	0.128
